,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,check,seller_id,has_stock
0,0,0,103,//item.ssgcdn.com/72/08/60/item/1000040600872_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000040600872&siteNo=6004&salestrNo=6005,[보니애가구] 헬렌 고무나무 원목 수납 화장대 (거울매립형),1000040600872,9,4.5,"160,740",화장대,성공,15,1
1,1,1,103,//item.ssgcdn.com/40/97/58/item/1000004589740_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000004589740&siteNo=6004&salestrNo=6005,스페이스 수납형 화장대,1000004589740,3,5.0,"182,001",화장대,성공,15,1
2,2,2,103,//item.ssgcdn.com/90/11/75/item/1000023751190_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023751190&siteNo=6004&salestrNo=6005,일리안 원목도장 화장대 세트_의자포함,1000023751190,3,4.6,"138,073",화장대,성공,15,1
3,3,3,104,//item.ssgcdn.com/03/43/74/item/1000062744303_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000062744303&siteNo=6004&salestrNo=6005&tlidSrchWd=%EA%B1%B0%EC%9A%B8&srchPgNo=1&src_area=ssglist,원목 노프레임 아치형 전신거울 스텐드 벽걸이,1000062744303,8,4.5,"59,000",거울,성공,15,1
4,4,4,104,//item.ssgcdn.com/38/78/10/item/1000022107838_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000022107838&siteNo=6001&salestrNo=2034&tlidSrchWd=%EA%B1%B0%EC%9A%B8&srchPgNo=1&src_area=ssglist,러빙홈 모던전신거울 33*150 오크,1000022107838,153,4.8,"39,900",거울,성공,15,1
5,5,5,104,//item.ssgcdn.com/71/38/00/item/1000023003871_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023003871&siteNo=6001&salestrNo=2034&tlidSrchWd=%EA%B1%B0%EC%9A%B8&srchPgNo=1&src_area=ssglist,(주)중원기업  붙이는벽거울 295*1220,1000023003871,118,4.8,"15,900",거울,성공,15,1
6,6,6,105,//item.ssgcdn.com/75/37/84/item/1000059843775_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000059843775&siteNo=6004&salestrNo=6005&tlidSrchWd=%ED%98%91%ED%83%81&srchPgNo=1&src_area=ssglist,케렌시아 패브릭수납장 2단 수납정리함 주방수납장 수납 협탁,1000059843775,1,5.0,"37,901",협탁/사이드테이블,성공,15,1
7,7,7,105,//item.ssgcdn.com/59/63/93/item/1000047936359_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000047936359&siteNo=6004&salestrNo=6005&tlidSrchWd=%ED%98%91%ED%83%81&srchPgNo=1&src_area=ssglist,청년리빙 사이드 트레이 테이블,1000047936359,15,4.6,"14,703",협탁/사이드테이블,성공,15,1
8,8,8,105,//item.ssgcdn.com/23/61/95/item/1000029956123_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000029956123&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%82%AC%EC%9D%B4%ED%8A%B8%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,바이브 원목 사이드테이블 중형(600),1000029956123,32,4.8,"30,965",협탁/사이드테이블,성공,15,1
9,9,9,105,//item.ssgcdn.com/31/32/17/item/1000032173231_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000032173231&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%82%AC%EC%9D%B4%EB%93%9C%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,씨티 접이식 테이블,1000032173231,35,4.5,"15,717",협탁/사이드테이블,성공,15,1
