cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,has_stock
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161128125900644935.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/55087/selling?affect_type=ProductCategoryIndex&affect_id=,네이처 원목침대 2colors (SS/Q),55087,320,4.6,"149,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162212803990223371.jpeg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/210738/selling?affect_type=ProductCategoryIndex&affect_id=,[할인쿠폰] 토스트 내추럴 침대 SS/Q (매트선택),210738,306,4.8,"250,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160922710716527494.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/114627/selling?affect_type=ProductCategoryIndex&affect_id=,아이비 아카시아 원목침대 2colors (SS/Q),114627,"2,071",4.7,"169,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158141189341589130.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/346869/selling?affect_type=ProductCategoryIndex&affect_id=,디아 LED 편백선반헤드 침대(매트포함) SS/Q 4colors,346869,218,4.6,"243,900",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160704367421656799.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/329077/selling?affect_type=ProductCategoryIndex&affect_id=,스칸딕 로맨틱 신혼 원목침대(매트포함) SS/Q 3colors,329077,"1,365",4.6,"389,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157552170572175852.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/211552/selling?affect_type=ProductCategoryIndex&affect_id=,라움 세븐트리 원목침대 4size (매트리스 선택),211552,"1,587",4.7,"368,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160914245501580027.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/629901/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 레인 짜맞춤 8각 평상형 원목 침대프레임 4size,629901,75,4.8,"439,000",오늘의집,일반침대,True
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160704295360692708.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/325516/selling?affect_type=ProductCategoryIndex&affect_id=,스칸딕 핀란드 원목침대(매트포함) SS/Q 6colors,325516,694,4.6,"279,000",오늘의집,일반침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162158717957439878.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/355500/selling?affect_type=ProductCategoryIndex&affect_id=,비앙카 LED 수납 침대 (매트포함) SS/Q/K  ,355500,"2,982",4.6,"229,900",오늘의집,수납침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160575187259119294.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/335639/selling?affect_type=ProductCategoryIndex&affect_id=,루이스 3단 빅서랍 수납침대  SS/Q ,335639,"1,441",4.3,"92,900",오늘의집,수납침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159002556424421342.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/231324/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 클레어 LED 수납침대 2colors(SS/Q),231324,"1,623",4.6,"216,000",오늘의집,수납침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161967733398373592.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/310649/selling?affect_type=ProductCategoryIndex&affect_id=,캐더린 LED 통서랍 수납침대 슈퍼싱글(SS) /퀸(Q) (프레임만/내일배송),310649,"2,966",4.5,"148,000",오늘의집,수납침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159185611543049579.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/362306/selling?affect_type=ProductCategoryIndex&affect_id=,하모니 LED 조명 서랍형 침대프레임 3colors (매트리스 포함),362306,340,4.7,"209,000",오늘의집,수납침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161976602119206048.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/375727/selling?affect_type=ProductCategoryIndex&affect_id=,캐더린 LED 통서랍 수납침대 슈퍼싱글SS/퀸Q (매트리스포함/내일배송),375727,"4,736",4.5,"229,000",오늘의집,수납침대,True
