cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm
10101,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ecc0/8e4b0779f9a2bf3137ad2467ed273b5824c23dcec4f0a7c6b8610eaabe59.jpg,https://www.coupang.com/vp/products/1141993983?itemId=2113243352&vendorItemId=70111898516&sourceType=CATEGORY&categoryId=184464&isAddedCart=,삼익가구 로이 슈퍼싱글/퀸 LED 침대 + 본넬 매트리스 포함,1141993983,581,0,"199,900",쿠팡,일반침대
10102,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5157/c177bbc7f02ec37bab48c2ab66d1a30e07d26f545f9d707596a16537bc6c.jpg,https://www.coupang.com/vp/products/1315500107?itemId=2334105963&vendorItemId=70330766139&sourceType=CATEGORY&categoryId=184464&isAddedCart=,[삼익가구]러버 LED 4단 수납 원목 침대(YS 파워 본넬스프링 매트리스-슈퍼싱글),1315500107,565,0,"299,000",쿠팡,수납침대
10101,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/07/19/8/86efca56-56f3-4c62-a873-93dd265ade30.jpg,https://www.coupang.com/vp/products/165416299?itemId=474421835&vendorItemId=4187770660&sourceType=CATEGORY&categoryId=184464&isAddedCart=,동서가구 2019서울어워드선정 숲 편백 슈퍼싱글 원목침대 프레임 DF638423,165416299,37,0,"229,000",쿠팡,일반침대
10101,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b071/efb6955910026a53bede8d64b4ca6ec91ecd031a6114997941fab599c341.jpg,https://www.coupang.com/vp/products/4842372443?itemId=6259538697&vendorItemId=72782908156&sourceType=CATEGORY&categoryId=184464&isAddedCart=,올쏘 네이처 아카시아 원목 퀸 침대 프레임,4842372443,10,0,"199,000",쿠팡,일반침대
10101,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4812/a798c81d7b1f3b82d0f606547bd3a5376fa27974388a62d7cdea9f33a506.jpg,https://www.coupang.com/vp/products/1464395351?itemId=2518584295&vendorItemId=70511510423&isAddedCart=,캔디시홈 헤라 원목 슈퍼싱글 SS 침대프레임 화이트 내추럴 딥블루 (매트리스 별도),1464395351,15,0,"139,000",쿠팡,일반침대
10101,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ec5e/28f8a493085f0d5efaf6142c322e3e629abc87ba1daa1677636518534c5a.jpg,https://www.coupang.com/vp/products/1968834514?itemId=3348279099&vendorItemId=71335058428&sourceType=CATEGORY&categoryId=184464&isAddedCart=,크렌시아 딜라이트 밀리 일반형 슈퍼싱글 침대프레임 SS (매트제외),1968834514,1,0,"59,000",쿠팡,일반침대
10101,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/28/13/4/b7d3403a-5fc3-49bc-b4d6-73f1e7409c25.jpg,https://www.coupang.com/vp/products/1984949332?itemId=3377801924&vendorItemId=71443319390&sourceType=CATEGORY&categoryId=184464&isAddedCart=,소미랑 루체 철제 침대,1984949332,107,0,"104,000",쿠팡,일반침대
10101,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5dd6/a2bdaf93d944c54ca7897588974eead930ff9f6f894195963de4391c4bee.jpg,https://www.coupang.com/vp/products/4533466448?itemId=5478834486&vendorItemId=72817139239&isAddedCart=,레이디가구 스칸딕 로맨틱 핀란드 원목 침대 SS Q 슈퍼싱글 퀸,4533466448,30,0,"199,900",쿠팡,일반침대
10102,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/02/15/5/c55f5442-40a1-4466-af5b-79cf9aada34a.jpg,https://www.coupang.com/vp/products/2336333658?itemId=4045655993&vendorItemId=72029800774&sourceType=CATEGORY&categoryId=184464&isAddedCart=,에몬스홈 베스터 서랍형 침대 + 스프링매트리스 방문설치,2336333658,54,0,"367,000",쿠팡,수납침대
10102,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3987/ac804f43e198c39eb9a06ddc40392ff3cb9173bee1d2d6700d0e3ed62aca.jpg,https://www.coupang.com/vp/products/4648389192?itemId=5792157070&vendorItemId=73090660579&isAddedCart=,라자가구 RF 카인 LED 리노 서랍 슈퍼싱글/퀸 침대+베이직 본넬 매트리스,4648389192,38,0,"199,000",쿠팡,수납침대
