cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160922710716527494.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/114627/selling?affect_type=ProductCategoryIndex&affect_id=,아이비 아카시아 원목침대 2colors (SS/Q),114627,"2,138",4.7,"169,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162400608387306688.jpeg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/870173/selling?affect_type=ProductCategoryIndex&affect_id=,무료배송 라움 세븐트리 원목침대 4size (매트리스 선택),870173,"1,516",4.7,"379,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161128125900644935.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/55087/selling?affect_type=ProductCategoryIndex&affect_id=,네이처 원목침대 2colors (SS/Q),55087,353,4.6,"149,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160914245501580027.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/629901/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 레인 짜맞춤 8각 평상형 원목 침대프레임 4size 애쉬브라운/브라운,629901,100,4.8,"429,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162212803990223371.jpeg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/210738/selling?affect_type=ProductCategoryIndex&affect_id=,[할인쿠폰] 토스트 내추럴 침대 SS/Q (매트선택),210738,326,4.8,"250,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160704367421656799.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/329077/selling?affect_type=ProductCategoryIndex&affect_id=,스칸딕 로맨틱 신혼 원목침대(매트포함) SS/Q 3colors,329077,"1,405",4.6,"389,000",오늘의집,일반침대
10101,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158141189341589130.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/346869/selling?affect_type=ProductCategoryIndex&affect_id=,디아 LED 편백선반헤드 침대(매트포함) SS/Q 4colors,346869,229,4.6,"243,900",오늘의집,일반침대
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162158717957439878.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/355500/selling?affect_type=ProductCategoryIndex&affect_id=,비앙카 LED 수납 침대 (매트포함) SS/Q/K  ,355500,"3,076",4.6,"229,900",오늘의집,수납침대
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159002556424421342.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/231324/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 클레어 LED 수납침대 3colors(SS/Q),231324,"1,703",4.6,"215,000",오늘의집,수납침대
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159185611543049579.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/362306/selling?affect_type=ProductCategoryIndex&affect_id=,하모니 LED 조명 서랍형 침대프레임 3colors (매트리스 포함),362306,403,4.7,"209,000",오늘의집,수납침대
