cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,check
10102,//www.oneroommaking.com/web/product/big/202101/3698da2388236724c0973fc662bafbd0.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2865&cate_no=84&display_group=1,저상형 가죽 수납 침대,2865,8,4.5,"209,000",원룸만들기,수납침대,성공
10101,//oneroommaking.com/web/product/big/20200419/da0510ce0df42f4d8f268fabdd249363.jpg,https://oneroommaking.com/product/detail.html?product_no=2166&cate_no=84&display_group=1,올인원 일체형 침대,2166,74,4.4,"74,900",원룸만들기,일반침대,성공
10102,//www.oneroommaking.com/web/product/big/202011/73e6ca493dc513c0cfde6799d34bcd1e.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2717&cate_no=84&display_group=1,파티션 수납 침대,2717,1,5.0,"559,000",원룸만들기,수납침대,성공
10102,//www.oneroommaking.com/web/product/big/20200213/2890dd9db2cbdf4f00a422e7a651351d.jpg,https://www.oneroommaking.com/product/detail.html?product_no=1984&cate_no=84&display_group=1,밀리 화장대 침대,1984,99,4.7,"199,000",원룸만들기,수납침대,성공
10101,//oneroommaking.com/web/product/big/202105/ecada4d43702d40e50f7344d00962f33.jpg,https://oneroommaking.com/product/detail.html?product_no=3209&cate_no=84&display_group=1,내일배송 원목 침대 3종,3209,3,5.0,"159,000",원룸만들기,일반침대,성공
10101,//oneroommaking.com/web/product/big/202103/694acdeb8c004b72f8f36c1eb2608e8e.jpg,https://oneroommaking.com/product/detail.html?product_no=2995&cate_no=84&display_group=1,캠핑 하우스 철제 침대,2995,5,5.0,"255,000",원룸만들기,일반침대,성공
10101,//oneroommaking.com/web/product/big/20200331/a0b8c4cdb8eb6f35174014db2f539ce7.jpg,https://oneroommaking.com/product/detail.html?product_no=2111&cate_no=84&display_group=1,원목 평상,2111,7,3.9,"125,900",원룸만들기,일반침대,성공
10102,//www.oneroommaking.com/web/product/big/201906/8032c69a2574f9c18352e52bae6d5af1.jpg,https://www.oneroommaking.com/product/detail.html?product_no=1391&cate_no=84&display_group=1,원목 수납침대,1391,12,4.6,"317,600",원룸만들기,수납침대,성공
10101,//oneroommaking.com/web/product/big/20200603/d7993524280b13936a30d4e774530041.jpg,https://oneroommaking.com/product/detail.html?product_no=2280&cate_no=84&display_group=1,폴드 슬라이딩 싱글 침대,2280,19,4.4,"99,000",원룸만들기,일반침대,성공
10102,//www.oneroommaking.com/web/product/big/202009/f9a77b2298aecdd61a3f6f9cb299b100.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2543&cate_no=84&display_group=1,플랫 3단 수납침대,2543,42,4.5,"93,000",원룸만들기,수납침대,성공
10102,//oneroommaking.com/web/product/big/201907/09e7b3ca8f0cbb24562483382f1e2d95.jpg,https://oneroommaking.com/product/detail.html?product_no=1491&cate_no=84&display_group=1,LED 수납 침대 시리즈,1491,53,4.5,"189,000",원룸만들기,수납침대,성공
10102,//www.oneroommaking.com/web/product/big/202101/6b33ceab8b8689817f8a2e1838a7cf72.jpg,https://www.oneroommaking.com/product/detail.html?product_no=942&cate_no=84&display_group=1,큐브 멀티 책장형 침대,942,21,4.9,"219,000",원룸만들기,수납침대,성공
10101,//oneroommaking.com/web/product/big/201801/123_shop1_769716.jpg,https://oneroommaking.com/product/detail.html?product_no=123&cate_no=84&display_group=1,캡틴 철재 침대,123,9,5.0,"159,000",원룸만들기,일반침대,성공
10102,//www.oneroommaking.com/web/product/big/202101/daf32c1fd4daaff924f61beccecfceb0.webp,https://www.oneroommaking.com/product/detail.html?product_no=2853&cate_no=84&display_group=1,리프트업 수납박스 침대,2853,6,5.0,"319,000",원룸만들기,수납침대,성공
10101,//oneroommaking.com/web/product/big/202101/3de2f889d2818d2bf1fcf6890b3dd73a.jpg,https://oneroommaking.com/product/detail.html?product_no=2854&cate_no=84&display_group=1,지누스 스틸 침대 모음,2854,35,4.9,"98,100",원룸만들기,일반침대,성공
10101,//oneroommaking.com/web/product/big/202007/bc5fe0515b6cf283e8bf8340e1262999.jpg,https://oneroommaking.com/product/detail.html?product_no=2432&cate_no=84&display_group=1,DIY 원목 침대,2432,8,4.4,"99,000",원룸만들기,일반침대,성공
10102,//oneroommaking.com/web/product/big/202106/63d76cba0d6e58fd6d46d7734db79faf.jpg,https://oneroommaking.com/product/detail.html?product_no=202&cate_no=84&display_group=1,멀티수납 계단형침대,202,9,4.9,"429,000",원룸만들기,수납침대,성공
10103,//oneroommaking.com/web/product/big/20200409/06a4aded6567369b38b4449d61e6660b.jpg,https://oneroommaking.com/product/detail.html?product_no=2139&cate_no=84&display_group=1,탱크 철제 벙커침대,2139,24,4.6,"399,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/20200423/9ce2df17947175e2f39c9b0d4c68e62a.gif,https://oneroommaking.com/product/detail.html?product_no=2177&cate_no=84&display_group=1,베스트 리프트 벙커침대,2177,6,5.0,"498,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/20200320/247ecb3a2f2c5f355713e4ae91fb05dd.jpg,https://oneroommaking.com/product/detail.html?product_no=2088&cate_no=84&display_group=1,원목 책상형 벙커침대,2088,13,4.5,"269,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/201909/fae9116a73f149a69910d676cd7d5f08.jpg,https://oneroommaking.com/product/detail.html?product_no=1608&cate_no=84&display_group=1,누벨르 벙커 침대,1608,12,3.7,"159,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/201908/e6369817e8427f43f4b1136396594c87.jpg,https://oneroommaking.com/product/detail.html?product_no=1544&cate_no=84&display_group=1,코모드I 올인원 반반 벙커침대,1544,32,4.6,"199,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/201811/569a38bcc88b8b4dba1b1bb1e9af9c47.jpg,https://oneroommaking.com/product/detail.html?product_no=842&cate_no=84&display_group=1,플랙시블 소파 침대,842,4,4.3,"228,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/201811/3c61b91a13695cc641d80ffe4484b16f.jpg,https://oneroommaking.com/product/detail.html?product_no=795&cate_no=84&display_group=1,코모드 i 올인원 벙커침대,795,78,4.6,"162,000",원룸만들기,벙커침대,성공
10103,//oneroommaking.com/web/product/big/202009/930221c5a04c637faec3ddbb81b2c1ab.jpg,https://oneroommaking.com/product/detail.html?product_no=2576&cate_no=84&display_group=1,드레스룸 벙커침대,2576,2,5.0,"243,000",원룸만들기,벙커침대,성공
10201,//www.oneroommaking.com/web/product/big/201901/e2c6e49eee4e12a9140b3c9f3ff7ea7f.jpg,https://www.oneroommaking.com/product/detail.html?product_no=971&cate_no=282&display_group=1,특급배송 꿀잠 매트리스 3종,971,415,4.7,"54,900",원룸만들기,매트리스,성공
10104,//oneroommaking.com/web/product/big/202105/1809478676ec83aace7c5d4b11977faf.jpg,https://oneroommaking.com/product/detail.html?product_no=3223&cate_no=84&display_group=1,소나무 매트리스 깔판,3223,16,5.0,"8,500",원룸만들기,깔판,성공
10201,//www.oneroommaking.com/web/product/big/202008/9ef6e5aa7f5a00139c8f93a09119cccf.png,https://www.oneroommaking.com/product/detail.html?product_no=2522&cate_no=282&display_group=1,그린티 메모리폼 매트리스,2522,92,4.9,"125,000",원룸만들기,매트리스,성공
10201,//www.oneroommaking.com/web/product/big/202012/bc50fa3b620bd7733b89b229a86a9a96.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2825&cate_no=282&display_group=1,3단 접이식 매트리스,2825,45,4.8,"22,110",원룸만들기,매트리스,성공
10201,//www.oneroommaking.com/web/product/big/201805/377_shop1_15270974997711.jpg,https://www.oneroommaking.com/product/detail.html?product_no=377&cate_no=282&display_group=1,하이브리드 라텍스 매트리스,377,61,4.9,"99,000",원룸만들기,매트리스,성공
10201,//www.oneroommaking.com/web/product/big/201808/9e811a17875e9f6bbe699f282282475e.jpg,https://www.oneroommaking.com/product/detail.html?product_no=546&cate_no=282&display_group=1,무중력 마약 매트리스,546,91,4.6,"45,900",원룸만들기,매트리스,성공
10104,//oneroommaking.com/web/product/big/201906/5ebb365d37dbd14d57ed3ccbe406ba23.jpg,https://oneroommaking.com/product/detail.html?product_no=541&cate_no=84&display_group=1,파렛트 시리즈,541,24,4.8,"69,000",원룸만들기,깔판,성공
10201,//www.oneroommaking.com/web/product/big/20200313/e991ad16ac7a91b97aeb400ee7ec8f22.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2067&cate_no=282&display_group=1,접이식 메모리폼 매트리스,2067,13,4.9,"189,000",원룸만들기,매트리스,성공
10201,//www.oneroommaking.com/web/product/big/202009/77ebb8953c77871b64daec1392dcc040.jpg,https://www.oneroommaking.com/product/detail.html?product_no=2531&cate_no=282&display_group=1,커스텀 호텔식 매트리스,2531,36,4.8,"69,000",원룸만들기,매트리스,성공
10201,//www.oneroommaking.com/web/product/big/201907/55687c99d40e997c2154f7af416ac1f0.png,https://www.oneroommaking.com/product/detail.html?product_no=1500&cate_no=282&display_group=1,센스맘 에어 매트리스,1500,27,4.6,"89,100",원룸만들기,매트리스,성공
10202,//oneroommaking.com/web/product/big/20191129/fde0c8621c474388ca0ad00f84794c55.jpg,https://oneroommaking.com/product/detail.html?product_no=1780&cate_no=171&display_group=1,알러리스 밴딩형 토퍼,1780,189,4.8,"39,900",원룸만들기,토퍼,성공
10202,//www.oneroommaking.com/web/product/big/201810/87d1507b2a2befe82f3a4d3cfc7d8aaf.jpg,https://www.oneroommaking.com/product/detail.html?product_no=742&cate_no=282&display_group=1,두툼한 토퍼 2종,742,108,4.5,"34,900",원룸만들기,토퍼,성공
10202,//oneroommaking.com/web/product/big/202105/f934bc4687f12f370e0a4d2aa1804274.jpg,https://oneroommaking.com/product/detail.html?product_no=3189&cate_no=116&display_group=1,시어서커 체크 쿨 토퍼,3189,87,4.7,"19,900",원룸만들기,토퍼,성공
