cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,check
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/300/B003002334.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3002334&disp=121104102&pCtr=121104102,미코퍼니처 루시 3서랍 평상형 침대 SS + 본넬매트리스,3002334,0,0,"179,000",10x10,일반침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/202/B002026302.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2026302&disp=121104102&pCtr=121104102,클레오 메모리 무소음 일체형침대 싱글S(90),2026302,0,0,"162,000",10x10,일반침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/257/B002573050.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2573050&disp=121104102&pCtr=121104102,젠느 LED 리노서랍 퀸 침대프레임 Q (매트제외),2573050,0,0,"439,000",10x10,수납침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/272/B002721785-1.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2721785&disp=121104102&pCtr=121104102,종이 침대프레임 보리(SS/Q/K),2721785,16,0,"71,900",10x10,일반침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/341/B003412705.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3412705&disp=121104102&pCtr=121104102,[장미맨숀] 리브 원목 퀸 침대프레임 (브라운),3412705,1,0,"429,000",10x10,일반침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/170/B001706086.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=1706086&disp=121104102&pCtr=121104102,	 [잉카]플로렌스 북유럽풍 평상형 원목침대 슈퍼싱글 헤드포함,1706086,4,0,"199,000",10x10,일반침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/353/B003530015.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3530015&disp=121104102&pCtr=121104102,노아)보드베드GSS(매트제외),3530015,0,0,"456,000",10x10,일반침대,성공
10101,http://thumbnail.10x10.co.kr/webimage/image/basic600/335/B003357398-2.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3357398&disp=121104102&pCtr=121104102,[카르페디]브람스 고무나무 원목 퀸침대프레임 Q,3357398,1,0,"498,000",10x10,일반침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/233/B002332956.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2332956&disp=121104102101&pRtr=%EC%88%98%EB%82%A9%EC%B9%A8%EB%8C%80&rc=rpos_1_4,New 크로스 올인원 LED 수납침대(DH 7존 라텍스 독립 매트-S),2332956,0,0,"559,000",10x10,수납침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/233/B002331170.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2331170&disp=121104102&pCtr=121104102,[잉글랜더]보노 LED 3단 수납 침대(매트제외-슈퍼싱글),2331170,0,0,"219,000",10x10,수납침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/351/B003517628.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3517628&disp=121104102101&pRtr=%EC%88%98%EB%82%A9%EC%B9%A8%EB%8C%80&rc=rpos_1_35,[세컨드컨테이너] 하이덴 파티션 수납형 침대(SS),3517628,0,0,"359,900",10x10,수납침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/258/B002587246-1.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2587246&disp=121104102101&pRtr=%EC%88%98%EB%82%A9%EC%B9%A8%EB%8C%80&rc=rpos_1_59,미니피스 멀티 수납 침대 SS/Q 슈퍼싱글/퀸(매트리스 선택),2587246,0,0,"129,000",10x10,수납침대,성공
10102,http://thumbnail.10x10.co.kr/webimage/image/basic600/328/B003281752.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3281752&disp=121104102101&pRtr=%EC%88%98%EB%82%A9%EC%B9%A8%EB%8C%80&rc=rpos_1_38,슬립온 LED 조명 서랍형 수납침대(SS)-독립 매트리스,3281752,0,0,"559,000",10x10,수납침대,성공
10103,http://thumbnail.10x10.co.kr/webimage/image/basic600/292/B002924052.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2924052&disp=121104102104&pRtr=%EB%B2%99%EC%BB%A4%EC%B9%A8%EB%8C%80+%EC%9D%B4%EC%B8%B5%EC%B9%A8%EB%8C%80&rc=rpos_5_1,SE0등급 소나무원목 코스모 벙커형 책상이층침대 싱글,2924052,0,0,"249,000",10x10,벙커침대,성공
10103,http://thumbnail.10x10.co.kr/webimage/image/basic600/216/B002160360.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2160360&disp=121104102104&pRtr=%EB%B2%99%EC%BB%A4%EC%B9%A8%EB%8C%80+%EC%9D%B4%EC%B8%B5%EC%B9%A8%EB%8C%80&rc=rpos_3_40,리빙힙 에스키 벙커침대/이층침대/2층침대/철제침대/철재침대,2160360,1,0,"228,650",10x10,벙커침대,성공
